"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"140","Oceania","New Zealand",5823,28,1197.99,5.761,0.004,2987389,61.46,4860642,18.206,37.9,15.322,36085.843,0.931,10,10,79,0.752819979190826,0.973248779773712,1.13482642173767
"141","North America","Nicaragua",16241,207,2423.169,30.885,NA,362357,5.41,6702379,51.667,27.3,5.445,5321.444,0.66,7.8,7.2,NA,NA,NA,NA
"142","Africa","Niger",6260,208,249.097,8.277,NA,323533,1.29,25130810,16.955,15.1,2.553,926,0.394,6.4,5.4,NA,NA,NA,NA
"143","Africa","Nigeria",211171,2884,998.913,13.642,0.011,2875824,1.36,211400704,209.588,18.1,2.751,5338.454,0.539,7.2,6.4,NA,NA,NA,NA
"144","Europe","North Macedonia",199901,7062,95983.456,3390.854,NA,769356,36.94,2082661,82.6,39.1,13.26,13111.214,0.774,9,9,NA,NA,NA,NA
"145","Asia","Northern Cyprus",NA,NA,NA,NA,NA,258587,67.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Europe","Norway",201410,894,36850.287,163.568,0.069,3723946,68.13,5465629,14.462,39.7,16.821,64800.057,0.957,10,10,69,0.75996333360672,0.838027334213257,0.876012766361237
"147","Asia","Oman",304183,4110,58234.942,786.847,NA,2614847,50.06,5223376,14.98,30.7,2.355,37960.709,0.813,0,-8,NA,NA,NA,NA
"148","Asia","Pakistan",1269806,28392,5638.572,126.075,0.014,38596890,17.14,225199929,255.573,23.5,4.495,5034.708,0.557,7,7,14,0.579883742332459,0.824821531772614,0.800209093093872
"149","Oceania","Palau",8,NA,440.189,NA,NA,NA,NA,18174,47.237,NA,NA,13240.405,0.826,NA,NA,NA,NA,NA,NA
"150","Asia","Palestine",451459,4636,86440.76,887.654,0.094,NA,NA,5222756,778.202,20.4,3.043,4449.898,0.708,NA,NA,NA,NA,NA,NA
"151","North America","Panama",471669,7310,107648.081,1668.347,0.025,2358576,53.83,4381583,55.133,29.7,7.918,22267.037,0.815,9,9,11,0.371072226762772,0.548493611812592,1.18733813762665
"152","Oceania","Papua New Guinea",27895,335,3058.996,36.736,NA,106657,1.17,9119005,18.22,22.6,3.808,3823.194,0.555,5,5,NA,NA,NA,NA
"153","South America","Paraguay",460754,16232,63819.517,2248.311,0.03,2199261,30.46,7219641,17.144,26.5,6.378,8827.01,0.728,9,9,NA,NA,NA,NA
"154","South America","Peru",2195859,200052,65824.266,5996.868,0.04,14823045,44.43,33359415,25.129,29.1,7.151,12236.706,0.777,9,9,16,0.489511674642563,0.841705501079559,1.44956848621368
"155","Asia","Philippines",2761307,41942,24866.131,377.696,0.102,25955669,23.37,111046910,351.873,25.2,4.803,7599.188,0.718,8,8,32,NA,NA,NA
"156","Europe","Poland",2975880,76447,78733.233,2022.568,0.113,19833946,52.47,37797000,124.027,41.8,16.763,27216.445,0.88,10,10,60,0.511498957872391,0.660238671302795,1.01415301561356
"157","Europe","Portugal",1085451,18138,106752.48,1783.845,0.021,8827654,86.82,10167923,112.371,46.2,21.502,27936.896,0.864,10,10,27,NA,NA,NA
"158","Asia","Qatar",238640,609,81432.536,207.813,NA,NA,NA,2930524,227.322,31.9,1.307,116935.6,0.848,0,-10,NA,NA,NA,NA
"159","Europe","Romania",1571115,44980,82137.899,2351.555,0.265,5919840,30.95,19127772,85.129,43,17.85,23313.199,0.828,9,9,30,NA,NA,NA
"160","Europe","Russia",8149946,227506,55855.206,1559.2,0.056,47905303,32.83,145912022,8.823,39.6,14.178,24765.954,0.824,5,4,39,0.635445463657379,1.31339156627655,1.11554658412933
